"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"end:help-ezic-kill-attackers-wall-destroyed","There is no place for you or your family in this revolution.","Ne ekzistas spacon por vi aŭ via familio en tiu revolucio."
"end:help-ezic-kill-attackers-wall-destroyed","Goodbye inspector.","Adiaŭ inspektisto."
"end:help-ezic-kill-attackers-wall-destroyed","Glory to the New Arstotzka.","Gloro al la Nova Arstotzkio."
"end:help-few-ezic","Hello inspector.","Saluton inspektisto."
"end:help-few-ezic","We have audited your recent activities.","Ni revizoris viajn lastajn agojn."
"end:help-few-ezic","Your involvement with a group calling themselves THE ORDER OF THE EZIC STAR has been uncovered.","Vian implikadon kun grupon, kiu nomas sin LA ORDENO DE LA EZIC STELO malkovris."
"end:help-few-ezic","Several members of this group have been arrested in Arstotzka.","Multaj membroj de tiu grupo estas areatitaj en Arstotzkio."
"end:help-few-ezic","At least one EZIC member has confessed to receiving your help.","Almenaŭ unu membro de EZIC konfesis ricevi vian helpon."
"end:help-few-ezic","This represents treason of the highest order.","Tiu reprezentas ŝtatperfidon en la plej alta grado."
"end:help-few-ezic","Goodbye inspector.","Adiaŭ inspektisto."
"end:help-few-ezic","The execution is scheduled for tonight.","La ekzekuton planis por ĉi-nokte."
"end:help-few-ezic","Your family's safety is unknown.","La sekureco de via familio estas nekonata."
"end:help-few-ezic","EZIC has been crushed. The balance of justice is restored.","EZIC estas rompita. La balanco de justeco restaŭriĝas."
"end:help-few-ezic","Glory to Arstotzka.","Gloro al Arstotzkio."
"end:escape","You board the late train to the Northern Territories. It is nearly empty.","Vi entrajniĝas meznokte al la Nordaj Teritorioj. Ĝi estas preskaŭ malplena."
"end:escape","You pay for the hastily forged passport and re-entry ticket. They look terrible.","Vi pagas por la rapide falsitan pasporton kaj reeniro-bileton. Ili aspektas aĉaj."
"end:escape","You pay for the hastily forged passports and re-entry tickets. They look terrible.","Vi pagas por la rapide falsitajn pasportojn kaj reeniro-biletojn. Ili aspektas aĉaj."
"end:escape","You reach the border crossing at dawn. The line is immense.","Vi atingas la landliman transirejon. La vico estas enorma."
"end:escape","Six hours later.","Ses horoj poste."
"end:escape","Your documents.","Viaj dokumentoj."
"end:escape","Here.","Jen."
"end:escape","You are entering alone?","Ĉu vi eniras sole?"
"end:escape","Yes.","Jes."
"end:escape","I come to visit relatives.","Mi venas por viziti parencojn."
"end:escape","No, my family as well.","Ne, ankaŭ mia familio."
"end:escape","Hand over all documents now.","Donu ĉiujn dokumentojn nune."
"end:escape","We come to visit relatives.","Ni venas por viziti parencojn."
"end:escape","I do not care why you come. Wait here.","Ne gravas al mi kial vi venas. Atendu tie."
"end:escape","*KACHUNK*","*KACHUNK*"
"end:escape","Welcome to Obristan. Next!","Bonvenon en Obristion. Sekva!"
"end:help-ezic-hold-fire","Inspector! It is a glorious day!","Inspektisto! Estas glora tago!"
"end:help-ezic-hold-fire","The border has been pierced.","La landlimo trapenetris."
"end:help-ezic-hold-fire","EZIC grows strong while the corrupt and greedy weaken.","EZIC plifortiĝas dum la koruptantoj kaj avarantoj malplifortiĝas."
"end:help-ezic-hold-fire","We are moving you and your family to a better home.","Ni transloĝigas vin kaj vian familion al pli bona dormo."
"end:help-ezic-hold-fire","Your services as an inspector are no longer required. We need agents.","Via servo kiel inspektisto ne plu estas bezonata. Ni bezonas agentojn."
"end:help-ezic-hold-fire","Follow us and together we will complete the revolution!","Sekvu nin kaj kune ni kompletigos la revolucion!"
"end:help-ezic-hold-fire","Glory to the New Arstotzka.","Gloro al la Nova Arstotzkio."
"end:ignore-ezic","Hello inspector.","Saluton inspektisto."
"end:ignore-ezic","We have audited your activities for the past 20 years.","Ni revizoris vian agojn dum la lasta 20 jaroj."
"end:ignore-ezic","There are some anomalies.","Estas kelkaj anomoiloj."
"end:ignore-ezic","But you have served Arstotzka well.","Sed vi bone servis Arstotzkion."
"end:ignore-ezic","We will overlook these small transgressions.","Ni pretervidos tiujn malgrandajn pekojn."
"end:ignore-ezic","You have been cleared of any suspicion.","Vi estas senkulpita de ia suspekto."
"end:ignore-ezic","Glory to Arstotzka.","Gloro al Arstotzkio."
"end:ignore-ezic","A new agreement has been reached with Kolechia.","Oni atingis novan konsenton kun Koleĥio."
"end:ignore-ezic","Grestin Border Checkpoint will reopen soon.","Grestino Landlimo Kontrolpunkto baldaŭ denove malfermos."
"end:ignore-ezic","Return to your post on January 1st.","Reiri al via ofico je la 1-a de januaro."
"end:ignore-ezic","ENDLESS UNLOCK CODE: 62131","SENFINA MALŜLOSO-ĈIFRO: 62131"
"endless:timed","Timed","TEMPOMEZURITA"
"endless:timed","Process as many travelers as possible in 10 minutes.","Traktu tiom da vojagxantaj kiom vi povas en 10 minutoj."
"endless:timed","ENDLESS - TIMED

Process as many travelers as possible in 10 minutes. One point per traveler. Lose 30 seconds for each citation.","SENFINA - TEMPOMEZURITA
Traktu tiom da vojagxantaj kiom vi povas en 10 minutoj. Unu poento por vojagxanto. Perdas 30 sekundojn por cxiu imputo."
"endless:perfection","Perfection","PERFEKTECO"
"endless:perfection","Game over at first penalty. Earn dwindling points.","Ludo finis je unua puno. Gajnas malpliigxajn poentojn."
"endless:perfection","ENDLESS - PERFECTION

Earn points for processing travelers. No citations allowed. Ten points per traveler in the first minute, one less point for each minute that passes. Work quickly.","SENFINA PERFEKTECO

Gajnas poentojn por trakti vojagxantojn. Imputoj ne permesas. Dek poentoj por vojagxanto en la unua minuto, malpli unu poento por pasonta minuto. Laboru rapide."
"endless:endurance","Endurance","Dauxrado"
"endless:endurance","Play until balance goes negative. Avoid penalties.","Ludu gxis balanco negativigxos."
"endless:endurance","ENDLESS - ENDURANCE

Process travelers until your balance drops below zero. Citations penalize an escalating number of points. The highest achieved points are remembered for scoring.","SENFINA - DAUXRADO

Traktu vojagxantojn gxis via balanco negativigxos. Imputoj punas pliigxan kvanton de poentoj. La plej alta gajnitajn poentojn tenigxos por poenti."
"endless:course1","Course 1","Kurso 1"
"endless:course2","Course 2","Kurso 2"
"endless:course3","Course 3","Kurso 3"
"endless:course4","Course 4","Kurso 4"
"bullend:1A","Check rulebook for rules in effect.","Kontrolu regulolibron por efektivaj reguloj."
"bullend:2A","Check rulebook for rules in effect.","Kontrolu regulolibron por efektivaj reguloj."
"bullend:3A","Check rulebook for rules in effect. REASON FOR DENIAL stamp is required when denying entry.","Kontrolu regulolibron por efektivaj reguloj. KIALO POR MALAPROBO stampon bezonas kiam malaprobante eniron."
"bullend:4A","Check rulebook for rules in effect. REASON FOR DENIAL stamp is required when denying entry.","Kontrolu regulolibron por efektivaj reguloj. KIALO POR MALAPROBO stampon bezonas kiam malaprobante eniron."
"night:MANAGE_EXPENSES","Manage your expenses using the checkboxes below.","Regu viajn financojn kun la subaj markobutonoj."
"night:AFTER_6PM","Applicants entering after 6PM are unpaid.","Petantoj kiuj eniras post la 6-a estas nepagantaj."
"night:PROGRESS_SAVED","Progress is saved at the start of each day.","Oni konservas progreson je la komenco de cxiu tago."
"night:ATTACK_DIDNOTHING","The day was cut short by a terrorist attack.","La tago abrupte haltis per terorista atako."
"night:ATTACK_FIREDGUN","The day was cut short by a terrorist attack.","La tago abrupte haltis per terorista atako."
"night:ATTACK_FIREDGUN","TRIGGER BONUS","ELLASILA BONIFIKO"
"night:ATTACK_SOLVED","The day was cut short by a terrorist attack.","La tago abrupte haltis per terorista atako."
"night:ATTACK_SOLVED","SHARPSHOOTER BONUS","LERTPAFISTA BONIFIKO"
"night:POISONING","The day was cut short by a security incident.","La tago abrupte haltis per sekureca afero."
"night:FAMILY_PICTURE","Your wife found an old family picture.","Via edzino trovis malnovan familian bildon."
"night:BUY_UPGRADE0","Booth Upgrade Available: SPACE key to toggle INSPECT mode.","Budo Promocio Havebla: SPACE klavo por baskuligi INSPEKTO regximo."
"night:BUY_UPGRADE0","UPGRADE BOOTH","PROMICII BUDON"
"night:BUY_UPGRADE1","Booth Upgrade Available: TAB key to toggle stamp bar.","Buda Promcio Havebla: TAB klavo por baskuligi stampilon."
"night:BUY_UPGRADE1","UPGRADE BOOTH","PROMICII BUDON"
"night:BUY_UPGRADE2","Booth Upgrade Available: Rulebook shortcuts.","Buda Promocio Havebla: Regulolibraj fulmoj."
"night:BUY_UPGRADE2","UPGRADE BOOTH","PROMOCII BUDON"
"night:BUY_UPGRADE3","Booth Upgrade Available: Double-click for quick INSPECT.","Buda Promocio Havebla: Duoble klaku por rapida INSPEKTO."
"night:BUY_UPGRADE3","UPGRADE BOOTH","PROMICII BUDON"
"night:APARTMENT_RENT","The rent has gone up.","La luprezo plialtigxis."
"night:APARTMENT_UPGRADE","A cheaper class 8 apartment is available (Rent = 25, Heat = 10)","Malpli multekosta klaso-8 apartamento haveblas<br>(Luprezo = 25, Varmigo = 10)"
"night:APARTMENT_UPGRADE","MOVE TO CLASS-8","TRANSLOGXIGI AL KLASO-8"
"night:APARTMENT_UPGRADE","A class-7 apartment is available. (Rent = 30, Heat = 10)","Klaso-7 apartamento haveblas. (Luprezo = 30, Varmigo = 10)"
"night:APARTMENT_UPGRADE","MOVE TO CLASS-7","TRANSLOGXIGI AL KLASO-7"
"night:APARTMENT_UPGRADE","A class-6 apartment is available. (Rent = 40, Heat = 5)","Klaso-6 apartamento haveblas. (Luprezo = 40, Varmigo = 5)"
"night:APARTMENT_UPGRADE","MOVE TO CLASS-6","TRANSLOGXIGI AL KLASO-6"
"night:APARTMENT_UPGRADE","A class-5 apartment is available. (Rent = 50, Heat = 0)","Klaso-5 apartamento haveblas. (Luprezo = 50, Varmigo = 0)"
"night:APARTMENT_UPGRADE","Class-5 is the best a worker can have.","Klaso-5 estas la plej bona kiun laboristo povas havi."
"night:APARTMENT_UPGRADE","MOVE TO CLASS-5","TRANSLOGXIGI AL KLASO-5"
"night:SON_BIRTHDAY","Your son's birthday is in 2 days.","La naskigxtago de via filo estas post du tagoj."
"night:SON_BIRTHDAY2","Your son's birthday is tomorrow. He wants an expensive crayon set.","La naskigxtago de via filo estas morgaux. Li volas multekostan<br>pasxtelaron."
"night:SON_BIRTHDAY2","SON'S GIFT","DONACO DE FILO"
"night:SON_BIRTHDAY3","Your son has drawn a picture for you to take to work.","Via filo faris desegnajxon al vi por porti al laboro."
"night:NIECE","Your sister has been arrested. Her young daughter needs a home.","Via fratino estas arestita. Sxia knabineto bezonas hejmon."
"night:NIECE","ADOPT NIECE","ADOPTI NEVINON"
"night:NIECE2_YES","Your niece has brought her mother's savings.","Via nevino kunportis sxparajxojn de sia patrino."
"night:NIECE2_YES","SISTER'S SAVINGS","SXPARAJXOJ DE FRATINO"
"night:NIECE2_NO","Your niece has disappeared.","Via nevino malaperis."
"night:FRIENDLY_GUARD_PAYOUT","A young woman dropped off something.","Juna virino lasis ion cxe via domo."
"night:FRIENDLY_GUARD_PAYOUT","ELISA'S GIFT","DONACO DE ELIZA"
"night:DETAIN_PAYOUT","DETAIN BONUS","MALLIBERIGA BONIFIKO"
"night:EZIC_PAYOUT","A strange man brought money. Uncheck to burn it.","Stranga viro alportis monon. Malsxalti por bruligi gxin."
"night:EZIC_PAYOUT","EZIC GIFT","DONACO DE EZIC"
"night:EZIC_PAYOUT_RETRY","A strange man brought money again. Uncheck to burn it.","Stranga viro alportis monon denove. Malsxalti por bruligi gxin."
"night:EZIC_PAYOUT_RETRY","EZIC GIFT","DONACO DE EZIC"
"night:EZIC_TAKESAVINGS","The neighbors have reported your new wealth.","La najbaroj raportis vian novan ricxecon."
"night:EZIC_TAKESAVINGS","The Ministry of Income has confiscated your savings pending investigation.","La Ministrejo de Enspezo konfiskis vian sxparajxon gxis esplorado."
"night:EZIC_CLEARED","The Ministry of Income has cleared all wrongdoing.","La Ministrejo de Enspezo plene malkulgipis vin."
"night:EZIC_CLEARED","Your savings will not be returned.","Vian sxparajxon ne redonos."
"night:EZIC_REWARD","A small package arrived.","Malgrandan pakajxon alvenis."
"night:EZIC_REWARD","EZIC GIFT","DONACO DE EZIC"
"night:TAKE_FAMILY_PASSPORTS","The Ministry of Information has confiscated your family's passports.","La Ministrejo de Informo konfiskis la pasportojn de via familio."
"night:ESCAPE","You can now escape to Obristan by yourself.","Vi nun povas eskapi al Obristio sole."
"night:ESCAPE","You can now escape to Obristan with one family member.","Vi nun povas eskapi al Obristio kun unu familiano."
"night:ESCAPE","You can now escape to Obristan with two family members.","Vi nun povas eskapi al Obristio kun du familianoj."
"night:ESCAPE","You can now escape to Obristan with three family members.","Vi nun povas eskapi al Obristio kun tri familianoj."
"night:ESCAPE","You can now escape to Obristan with four family members.","Vi nun povas eskapi al Obristio kun kvar familianoj."
"night:ESCAPE","You can now escape to Obristan with everyone.","Vi nun povas eskapi al Obristio kun cxiuj."
"night:ESCAPE_1","ESCAPE (SELF)","ESKAPI (MEM)"
"night:ESCAPE_2","ESCAPE (SELF+1)","ESKAPI (MEM+1)"
"night:ESCAPE_3","ESCAPE (SELF+2)","ESKAPI (MEM+2)"
"night:ESCAPE_4","ESCAPE (SELF+3)","ESKAPI (MEM+3)"
"night:ESCAPE_5","ESCAPE (SELF+4)","ESKAPI (MEM+4)"
"night:ESCAPE_6","ESCAPE (SELF+5)","ESKAPI (MEM+5)"
"night:HANGINGS_PENALTY","A fine has been assessed for unofficial wall hangings.","Monpunon donita por neoficialaj pendigxoj sur muro."
"night:HANGINGS_PENALTY","HANGINGS FINE","PENDIGXOJ MONPUNO"
"night:SELL_WATCH","You sold the digital watch on your way home.","Vi vendis la digxitan brakhorlogxon survoje al hejmo."
"night:SELL_WATCH","WATCH PROFIT","BRAKHORLOGXA PROFITO"
"night:EASY_MODE","EASY MODE CRUTCH","FACILA REGXIMO HELPILO"
"night:SNEAK_HOME","You have rushed home amid the panic at work to check on your family.","Vi rapidis hejmen inter la paniko ce laborejo por kontroli vian familion."
"night:SNEAK_HOME","Your information audit is scheduled for tomorrow morning.","Via informa revizoro planos por morgaux matene."
"note:EZIC_CORMAN","ARSTOTZKA IS GREAT COUNTRY POISONED BY CORRUPT LEADERS

WAR HAS MADE GOV'T GREEDY AND PARANOID - YOU HAVE SEEN FOR YOURSELF

HELP US FREE ARSTOTZKA FROM ITS SHACKLES


* THE ORDER OF THE EZIC STAR","ARSTOTZKIO BONEGA LANDO VENONITA PER KORUPTAJ ESTROJ

MILITO IGIS ESTRARON AVARA KAJ PARANOJA - VI MEM RIMARKIS

HELPU NI LIBERIGI ARSTOTZKION EL GXIAJ SXEKLOJ


* LA ORDENO DE LA EZIC STELO"
"note:EZIC_HANDLER_POST0","FIRST AGENT WAS DENIED

SECOND WILL COME IN THREE DAYS

DO NOT MAKE SAME MISTAKE","UNUAN AGENTON MALAPROBIS

DUA VENOS POST TRI TAGOJ

NE FARU SAMAN ERARON"
"note:EZIC_HANDLER_PRE1","LARGE GIFT WAS MISTAKE

MINISTRY OF INFORMATION NOW INVESTIGATES YOUR CONNECTION TO EZIC

NEXT AGENT COMES TODAY

WILL SOLVE PROBLEM

DENY AT OWN RISK","GRANDA DONACO ESTIS ERARO

MINISTREJO DE INFORMO NUN ESPLORAS VIAN RILATON AL EZIC

SEKVA AGENTO VENAS HODIAUX

SOLVOS PROBLEMON

NEI JE VIA PROPRA RISKO"
"note:EZIC_HANDLER_POST1","BOTH AGENTS WERE DENIED

WE CANNOT SUCCEED WITHOUT YOUR HELP

WHEN ARSTOTZKA WAS BORN, THE ORDER FULFILLED SAME ROLE AS TODAY

WHEN TYRANNY ENDS WE WILL DISAPPEAR AGAIN","AMBAUX AGENTOJN MALAPROBIS

NI NE POVAS SUKCESI SEN VIA HELPO

KIAM ARSTOTZKIO NASKIGXIS, LA ORDENO PLENUMIS SAMAN ROLON KIEL HODIAUX

KIAM TIRANECO FINOS NI DENOVE MALAPEROS"
"note:EZIC_HANDLER_POST1","ONLY ONE AGENT APPROVED

WE CANNOT SUCCEED WITHOUT YOUR HELP

WHEN ARSTOTZKA WAS BORN ,THE ORDER FULFILLED SAME ROLE AS TODAY

WHEN TYRANNY ENDS WE WILL DISAPPEAR AGAIN","NUR UNU AGENTON APROBIS

NI NE POVAS SUKCESI SEN VIA HELPO

KIAM ARSTOTZKIO NASKIGXIS, LA ORDENO PLENUMIS SAMAN ROLON KIEL HODIAUX

KIAM TIRANECO FINOS NI DENOVE MALAPEROS"
"note:EZIC_HANDLER_POST1","YOU HAVE DONE WELL

BOTH AGENTS NOW OPERATING

WHEN ARSTOTZKA WAS BORN, THE ORDER FULFILLED SAME ROLE AS TODAY

WHEN TYRANNY ENDS WE WILL DISAPPEAR AGAIN","VI FARIS BONE

AMBAUX AGENTOJ NUN FUNKCIGAS

KIAM ARSTOTZKIO NASKIGXIS, LA ORDENO PLENUMIS SAMAN ROLON KIEL HODIAUX

KIAM TIRANECO FINOS NI DENOVE MALAPEROS"
